曾是寂寥金烬暗	ujpj
曾是以为孝乎	ujnt
曾无黄石公	ufaw
曾协	ulfl
曾由与求之问	umgu
曾允元	ucfq
曾肇	ulyn
曾照吴王宫里人	ujkw
曾逐东风拂舞筵	ueat
察臣孝廉	pafy
差池不相见	uigm
差池其羽	uian
察乎盈虚	pteh
察邻国之政	pwlg
茶瓶儿	auqt
察言而观色	pydq
茶烟轻扬落花风	aolm
插羽破天骄	rndc
柴夔	hxuh
豺狼尽冠缨	eqnx
豺狼在邑龙在野	eqdj
柴门鸟雀噪	huqk
柴望	hxyn
蟾蜍蚀圆影	jjqj
禅峰	pymt
缠绵成一家	xxdp
蝉鸣空桑林	jkps
蝉休露满枝	jwfs
单于猎火照狼山	ugqm
单于已在金山西	ugns
长安白日照春空	tprp
长安不见使人愁	tpgt
长安城连东掖垣	tpff
长安城头头白乌	tpfq
长安城中月如练	tpfx
长安大道连狭斜	tpdw
长安宫阙九天上	tpph
长安年少惜春残	tprg
长安女	tpvv
长安秋望	tpty
长安市上酒家眠	tpyh
长安水边多丽人	tpiw
长安一片月	tpge
长安遇冯著	tpja
长安早春	tpjd
长飙风中自来往	tdmt
长不掩兰房	tgry
长春	tadw
